"task_id","sprint","level","phase","workstream","lane","pool","priority","type","launch_wave","p0_shortest_path","status","depends_on","risk_ids","verify_for_risks","owner_agent","evidence_link","notes"
"NGA-WS25-004","S10","L10","M10","WS25","Lane-RT","POOL-PH3-RT","P1","hardening","G5","no","done","NGA-WS25-001","","","AG-PH3-RT-01","doc/task/implementation/NGA-WS25-004-implementation.md; system/tool_contract.py","critical evidence fidelity delivered"
"NGA-WS25-005","S10","L10","M10","WS25","Lane-OBS","POOL-PH3-OBS","P1","qa","G5","no","done","NGA-WS25-003;NGA-WS25-004","","","AG-PH3-OBS-01","doc/task/implementation/NGA-WS25-005-implementation.md; scripts/run_event_gc_quality_baseline_ws25_005.py","event gc baseline delivered"
"NGA-WS25-006","S10","L10","M10","WS25","Lane-REL","POOL-PH3-REL","P1","qa","G6","no","done","NGA-WS25-002;NGA-WS25-005","","","AG-PH3-REL-01","doc/task/implementation/NGA-WS25-006-implementation.md; scripts/validate_m10_closure_gate_ws25_006.py","m10 closure gate delivered"
"NGA-WS26-001","S11","L11","M11","WS26","Lane-RT","POOL-PH3-RT","P0","hardening","G6","yes","done","NGA-WS25-006","","","AG-PH3-RT-01","doc/task/implementation/NGA-WS26-001-implementation.md; tests/test_native_tools_runtime_hardening.py","write path enforcement delivered"
"NGA-WS26-002","S11","L11","M11","WS26","Lane-OBS","POOL-PH3-OBS","P0","feature","G6","yes","done","NGA-WS25-006","","","AG-PH3-OBS-01","doc/task/implementation/NGA-WS26-002-implementation.md; scripts/export_ws26_runtime_snapshot_ws26_002.py","runtime slo snapshot delivered"
"NGA-WS26-003","S11","L11","M11","WS26","Lane-BS","POOL-PH3-BS","P0","hardening","G7","yes","done","NGA-WS26-002","","","AG-PH3-BS-01","doc/task/implementation/NGA-WS26-003-implementation.md; tests/test_run_ws26_m11_runtime_chaos_suite_ws26_006.py","fail open budget auto degrade delivered"
"NGA-WS26-004","S11","L11","M11","WS26","Lane-BS","POOL-PH3-BS","P1","hardening","G7","no","done","NGA-WS26-001","","","AG-PH3-BS-01","doc/task/implementation/NGA-WS26-004-implementation.md; tests/test_agentic_loop_contract_and_mutex.py","lock scavenger and fencing integration delivered"
"NGA-WS26-005","S11","L11","M11","WS26","Lane-BS","POOL-PH3-BS","P1","hardening","G7","no","done","NGA-WS24-004;NGA-WS26-004","","","AG-PH3-BS-01","doc/task/implementation/NGA-WS26-005-implementation.md; tests/test_process_lineage.py","double fork cleanup delivered"
"NGA-WS26-006","S11","L11","M11","WS26","Lane-REL","POOL-PH3-REL","P1","qa","G8","no","done","NGA-WS26-003;NGA-WS26-004;NGA-WS26-005","","","AG-PH3-REL-01","doc/task/implementation/NGA-WS26-006-implementation.md; scripts/validate_m11_closure_gate_ws26_006.py","m11 closure gate delivered"
"NGA-WS27-001","S12","L12","M12","WS27","Lane-OBS","POOL-PH3-OBS","P0","qa","G8","yes","done","NGA-WS26-006","","","AG-PH3-OBS-01","doc/task/implementation/NGA-WS27-001-implementation.md; scripts/manage_ws27_72h_wallclock_acceptance_ws27_001.py","72h endurance and wallclock acceptance tooling delivered"
"NGA-WS27-002","S12","L12","M12","WS27","Lane-REL","POOL-PH3-REL","P0","ops","G8","yes","done","NGA-WS26-006","","","AG-PH3-REL-01","doc/task/implementation/NGA-WS27-002-implementation.md; scripts/manage_ws27_subagent_cutover_ws27_002.py","legacy to subagent cutover manager delivered"
"NGA-WS27-003","S12","L12","M12","WS27","Lane-REL","POOL-PH3-REL","P1","qa","G9","no","done","NGA-WS27-002","","","AG-PH3-REL-01","doc/task/implementation/NGA-WS27-003-implementation.md; scripts/run_ws27_oob_repair_drill_ws27_003.py","oob repair drill delivered"
"NGA-WS27-004","S12","L12","M12","WS27","Lane-REL","POOL-PH3-REL","P0","qa","G9","yes","done","NGA-WS27-001;NGA-WS27-002;NGA-WS27-003","","","AG-PH3-REL-01","doc/task/implementation/NGA-WS27-004-implementation.md; scripts/release_closure_chain_full_m0_m12.py","m0 to m12 full closure chain delivered"
"NGA-WS27-005","S12","L12","M12","WS27","Lane-REL","POOL-PH3-REL","P1","qa","G9","no","done","NGA-WS27-004","","","AG-PH3-REL-01","doc/task/implementation/NGA-WS27-005-implementation.md; scripts/validate_m12_doc_consistency_ws27_005.py","m12 doc consistency closure delivered"
"NGA-WS27-006","S12","L12","M12","WS27","Lane-REL","POOL-PH3-REL","P0","ops","G9","yes","done","NGA-WS27-005","","","AG-PH3-REL-01","doc/task/implementation/NGA-WS27-006-implementation.md; scripts/release_phase3_full_signoff_chain_ws27_006.py","phase3 full release signoff chain delivered"
